,name,pred_points
328,Giovani Lo Celso,3.282136917114258
329,Jack Grealish,1.361202359199524
330,Jamal Lewis,0.20767183601856232
331,James Justin,0.0
332,Jean-Philippe Gbamin,0.0
333,Jed Steer,0.057079799473285675
334,Joelinton Cássio Apolinário de Lira,4.056475639343262
335,John McGinn,2.0881595611572266
336,João Pedro Cavaco Cancelo,0.0
337,Keinan Davis,0.14652353525161743
338,Kenny McLean,0.0
339,Kieran Tierney,6.020374774932861
340,Leandro Trossard,0.0
341,Mahmoud Ahmed Ibrahim Hassan,2.7927310466766357
342,Marco Stiepermann,0.0
343,Marvelous Nakamba,0.0
344,Mason Mount,6.198390007019043
345,Michael McGovern,0.5376913547515869
346,Moise Kean,0.6519733667373657
347,Moussa Djenepo,0.0
348,Neal Maupay,0.4193390905857086
349,Nicolas Pépé,2.7933895587921143
350,Onel Hernández,0.06560183316469193
351,Pablo Fornals,1.947034239768982
352,Patrick Cutrone,0.025542207062244415
353,Pedro Lomba Neto,3.5316407680511475
354,Reece James,1.1217749118804932
355,Rodrigo Hernandez,1.1600254774093628
356,Tanguy Ndombele,1.1058837175369263
357,Teemu Pukki,3.182441473007202
358,Todd Cantwell,0.5668743252754211
359,Wesley Moraes,0.0
360,Andy Lonergan,0.0
361,Caoimhin Kelleher,0.05272628366947174
362,Aaron Connolly,0.6834605932235718
363,Billy Gilmour,0.9794188737869263
364,Daniel N'Lundulu,0.006678381934762001
365,Adam Idah,0.0
366,Matthew Longstaff,0.057411909103393555
367,Steven Alzate,0.40831229090690613
368,Brandon Williams,0.5774683356285095
369,Anthony Gordon,0.5409998893737793
370,Scott Carson,0.04027148336172104
371,Ayotomiwa Dele-Bashiru,0.0
372,Luke Cundle,1.7818660736083984
373,Owen Otasowie,0.16733083128929138
374,Tyrick Mitchell,0.1095266118645668
375,Neco Williams,2.6378214359283447
376,Emile Smith Rowe,0.0
377,Japhet Tanganga,1.2006880044937134
378,Tariq Lamptey,0.502781093120575
379,William Smallbone,0.47410860657691956
380,Nathaniel Phillips,0.550035297870636
381,João Pedro Junqueira de Jesus,0.0
382,Jeremy Ngakia,2.573392152786255
383,Takumi Minamino,0.0
384,Lukas Rupp,0.18826264142990112
385,Bruno Miguel Borges Fernandes,12.00730037689209
386,Daniel Castelo Podence,2.5223639011383057
387,Josh Brownhill,2.5482113361358643
388,Pablo Marí,1.3057312965393066
389,Steven Bergwijn,0.5844157934188843
390,Tomas Soucek,2.6727967262268066
391,Alexis Mac Allister,9.091980934143066
392,Ki-Jana Hoever,0.0
393,Armando Broja,1.6451952457427979
394,Bobby Thomas,0.0
395,Jarrad Branthwaite,0.8094353079795837
396,Josh Martin,0.016637708991765976
397,Nathan Tella,0.02930080145597458
398,Cole Palmer,0.2232614904642105
399,Tommy Doyle,0.008008268661797047
400,Lewis Bate,0.01665608584880829
401,Kaine Hayden,0.0
402,Luke Thomas,0.2659169137477875
403,Ellis Simms,0.10170479118824005
404,Allan Marques Loureiro,1.2450679540634155
405,Alphonse Areola,0.662653923034668
406,Eberechi Eze,6.668689727783203
407,Fabio Silva,0.0
408,Fernando Marçal,0.8417409062385559
409,Francisco Casilla Cortés,0.0016248248284682631
410,Gabriel Magalhães,0.0
411,Hakim Ziyech,0.6359730362892151
412,Hélder Wander Sousa de Azevedo e Costa,4.707152366638184
413,Ian Carlo Poveda-Ocampo,0.0861646756529808
414,Illan Meslier,3.62103009223938
415,Jack Harrison,0.0
416,James Rodríguez,2.2440080642700195
417,Jamie Shackleton,0.35267528891563416
418,João Virgínia,0.16464214026927948
419,Joël Veltman,0.0
420,Kai Havertz,1.134553074836731
421,Kalvin Phillips,3.052708864212036
422,Konstantinos Tsimikas,1.330417513847351
423,Liam Cooper,2.285295248031616
424,Luke Ayling,0.0
425,Mark Gillespie,0.0
426,Mateusz Klich,0.5034641027450562
427,Mohamed Naser El Sayed Elneny,0.5570526123046875
428,Mohammed Salisu,0.0
429,Pablo Hernández Domínguez,0.20705872774124146
430,Pascal Struijk,0.0
431,Robin Koch,0.0
432,Rodrigo Moreno,0.0
433,Stuart Dallas,1.480933427810669
434,Timothy Castagne,1.1206586360931396
435,Timo Werner,0.0
436,Tyler Roberts,0.8933126330375671
437,William Saliba,0.0
438,Donny van de Beek,0.0
439,Ferran Torres,0.9421461820602417
440,Liam Delap,0.0
441,Matthew Cash,6.986486434936523
442,Ollie Watkins,3.2793703079223633
443,Thiago Alcántara do Nascimento,1.6950501203536987
444,Zack Steffen,0.008219229057431221
445,Bertrand Traoré,1.5169463157653809
446,Conor Gallagher,0.5126861929893494
447,Diego Llorente,7.176677703857422
448,Edouard Mendy,2.074486017227173
449,Jacob Ramsey,1.3924195766448975
450,Nélson Cabral Semedo,0.0
451,Rúnar Alex Rúnarsson,0.001433681114576757
452,Sergio Reguilón,1.145492434501648
453,Niels Nkounkou,0.09596522897481918
454,Rúben Santos Gato Alves Dias,1.2916961908340454
455,Vladimir Coufal,0.0
456,Wesley Fofana,5.759575843811035
457,Alex Nicolao Telles,2.324631690979004
458,Andi Zeqiri,0.08255021274089813
459,Edinson Cavani,1.8324387073516846
460,Ibrahima Diallo,0.0
461,Joachim Andersen,11.457754135131836
462,Raphael Dias Belloli,2.1204235553741455
463,Rayan Ait Nouri,6.709217071533203
464,Robin Olsen,1.2240867614746094
465,Thomas Partey,1.326601505279541
466,Saïd Benrahma,0.0
467,Robert Sánchez,3.029308795928955
468,Rhys Williams,0.9877132773399353
469,Lewis Richardson,0.24869488179683685
470,Jack Jenkins,0.0
471,Elliot Anderson,0.005094856023788452
472,Christian Marques,0.0
473,Kgaogelo Chauke,0.0
474,Andreas Söndergaard,0.0
475,Luke Mbete,0.0
476,Charlie Cresswell,9.549564765620744e-07
477,Jakub Moder,2.427640199661255
478,Frederik Alves,0.0
479,Tyler Onyango,0.0
480,Jean-Philippe Mateta,2.6222212314605713
481,Amad Diallo,0.0
482,Alfie Devine,0.0
483,Martin Ødegaard,1.6227728128433228
484,Morgan Sanson,1.3551015853881836
485,Hugo Bueno,0.0
486,Ozan Kabak,0.0
487,Michal Karbownik,0.0
488,Vontae Daley-Campbell,0.0
489,Thomas McGill,0.0
490,Moisés Caicedo,0.0
491,Dane Scarlett,0.0
492,Joe Gelhardt,1.2958041429519653
493,Jamal Baptiste,0.0
494,Shola Shoretire,0.19035384058952332
495,Carney Chukwuemeka,0.13960467278957367
496,Nathan Broadhead,0.0024980073794722557
497,Reece Hannam,0.0
498,Harry Tyrer,0.0
499,Jaden Philogene-Bidace,0.0
500,Isaac Price,0.0
501,Jesurun Rak-Sakyi,0.0
502,Reece Welch,0.0
503,Miguel Azeez,0.0
504,Crysencio Summerville,0.023431390523910522
505,Sam Greenwood,0.0
506,Cody Drameh,0.0
507,Anthony Elanga,0.5221990346908569
508,Hannibal Mejbri,0.0
509,Tim Iroegbunam,0.5026006698608398
510,Kwadwo Baah,0.0
511,Stipe Perica,0.0
512,Robert Street,0.0
513,Juraj Kucka,3.524186134338379
514,Björn Engels,0.0
515,Tariqe Fosu-Henry,0.5801935791969299
516,Karl Hein,0.0
517,Boubakary Soumaré,1.7297754287719727
518,Emmanuel Dennis,0.0
519,Christian Nørgaard,1.0250228643417358
520,Bali Mumba,0.0
521,Enock Mwepu,4.349115371704102
522,Pontus Jansson,1.0571035146713257
523,Asmir Begović,0.0
524,Nuno Varela Tavares,0.0
525,Yoane Wissa,10.198546409606934
526,Dimitris Giannoulis,1.127901554107666
527,Ibrahima Konaté,0.6391015648841858
528,Albert Sambi Lokonga,0.0
529,Marc Guéhi,1.4940671920776367
530,Marcus Forss,0.0
531,Folarin Balogun,0.0
532,Francisco Machado Mota de Castro Trincão,0.0
533,Dominic Thompson,0.04504837840795517
534,Joseph Hungbo,0.0
535,Rico Henry,2.712189197540283
536,Cristian Romero,1.03560209274292
537,Max Aarons,0.0
538,Philip Zinckernagel,0.0
539,Mads Bech Sørensen,2.7150471210479736
540,Malang Sarr,1.5082573890686035
541,Sergi Canós,0.0
542,Przemyslaw Placheta,0.0
543,Patson Daka,0.0
544,Ismaila Sarr,0.0
545,Nathan Collins,0.0
546,Mattéo Guendouzi,0.0
547,Shandon Baptiste,1.1349902153015137
548,Jarosław Jach,0.0
549,Taylor Richards,0.07822376489639282
550,Ethan Pinnock,4.544538497924805
551,Vitaly Janelt,0.0
552,Bryan Mbeumo,0.0
553,Jacob Sørensen,0.21779292821884155
554,Emiliano Buendía Stati,7.64776611328125
555,Charlie Goode,0.2803812026977539
556,Pelenda Joshua Dasilva,0.0
557,Adam Armstrong,0.918121874332428
558,Joshua Sargent,1.5419787168502808
559,José Malheiro de Sá,0.5501188635826111
560,Milot Rashica,0.7231860756874084
561,Kiernan Dewsbury-Hall,0.0
562,Frank Onyeka,0.0
563,Ellery Balcombe,0.0
564,Tino Livramento,1.1390324831008911
565,Mads Bidstrup,0.0
566,Scott Banks,0.0
567,Oghenekaro Peter Etebo,0.0
568,Adedapo Awokoya-Mebude,0.0
569,Matthew Pollock,0.0
570,Pierre Lees-Melou,1.8700246810913086
571,Ivan Toney,5.237215042114258
572,Mathias Jensen,1.2067369222640991
573,Héctor Junior Firpo Adames,0.0
574,Imrân Louza,0.0
575,Kristoffer Ajer,0.0
576,William Troost-Ekong,0.3165980577468872
577,Kjell Scherpen,0.0
578,Mbwana Ally Samatta,0.0
579,Saman Ghoddos,0.6981939077377319
580,Francisco Sierralta,0.0
581,Patrik Gunnarsson,0.0
582,David Raya Martin,0.0
583,Kristoffer Klaesson,0.06140608340501785
584,Pierluigi Gollini,0.0
585,Yerson Mosquera Valdelamar,0.0
586,Romain Perraud,5.955597877502441
587,Jan Zamburek,0.0
588,Bernardo Fernandes Da Silva Junior,0.0
589,Mads Roerslev Rasmussen,0.0
590,Juan Camilo Hernández Suárez,0.23475730419158936
591,Leon Bailey,0.1898573487997055
592,Michael Olise,0.0
593,Bryan Gil Salvatierra,0.00031698448583483696
594,Chem Campbell,0.2976981997489929
595,Andrew Omobamidele,5.341187477111816
596,Samuel Edozie,0.0
597,Christos Tzolis,0.0
598,Thiago Emiliano da Silva,0.5695022344589233
599,Halil Dervişoğlu,0.0
600,Jadon Sancho,1.7156574726104736
601,Ozan Tufan,0.445772260427475
602,Owen Dodgson,0.0
603,Remi Matthews,0.0
604,Raphaël Varane,2.223872423171997
605,Haydon Roberts,0.0
606,Álvaro Fernández,0.0
607,Liam McCarron,0.005586862564086914
608,Cameron Archer,0.0
609,Lyanco Evangelista Silveira Neves Vojnovic,0.0
610,Arthur Okonkwo,0.0
611,Finley Stevens,0.0
612,Maxwel Cornet,1.8978497982025146
613,Alex Kral,0.0020795478485524654
614,Hee-Chan Hwang,0.0
615,Cristiano Ronaldo dos Santos Aveiro,8.005541801452637
616,Joe White,0.0
617,Viljami Sinisalo,0.0
618,Emerson Aparecido Leite de Souza Junior,1.0082913637161255
619,Takehiro Tomiyasu,2.709994316101074
620,Mathias Normann,1.0975502729415894
621,Tobi Omole,0.0
622,Marc Cucurella,0.0
623,Odsonne Edouard,0.44919267296791077
624,Dilan Markanday,0.0
625,Saúl Ñíguez,0.6011524796485901
626,Joshua Wilson-Esbrand,0.0
627,Stuart McKinstry,0.17923302948474884
628,Romeo Lavia,0.0
629,Nohan Kenneh,0.0
630,Louie Moulden,0.0
631,Lamare Bogarde,0.0
632,Lewis Dobbin,0.029327822849154472
633,Leo Fuhr Hjelde,0.0
634,Charlie Whitaker,0.0
635,Jeremy Sarmiento,0.8109638094902039
636,Harrison Ashby,0.14567099511623383
637,Cieran Slicker,0.0
638,Paris Maghoma,0.0
639,Nicolas Nkoulou,0.0
640,James Storer,0.0
641,Matthew Cox,0.0
642,Tyler Morton,0.04980503395199776
643,James McAtee,0.0
644,Conor Bradley,0.0
645,Maxwell Haygarth,0.0
646,Kaide Gordon,0.02375846356153488
647,Owen Beck,0.0
648,James Morris,0.0
649,Sonny Perkins,0.0
650,Nathan Young-Coombes,1.2335360050201416
651,Jonathan Tomkinson,0.0
652,Kasey McAteer,0.0
653,Ben Nelson,0.0
654,Lewis Brunt,0.13890059292316437
655,Vincent Angelini,0.0
656,Ajibola Alese,0.0
657,Filip Marschall,0.0
658,Ed Turns,0.0
659,Marc Leonard,0.0
660,Jonathan Rowe,0.15191957354545593
661,Conrad Egan-Riley,0.0
662,Evan Ferguson,0.08246687799692154
663,Thomas Dickson-Peters,0.0
664,Armstrong Oko-Flex,0.0
665,Marcelo de Araújo Pitaluga Filho,0.0
666,Brandon Austin,0.0
667,Jarell Quansah,0.0
668,Archie Gray,0.0
669,Kris Moore,0.0
670,Bruno André Cavaco Jordão,0.0
671,Dynel Simeu,0.0
672,Kayky da Silva Chagas,0.0
673,Charlie Patino,0.0
674,Myles Peart-Harris,0.0
675,Harvey White,0.0
676,Jon McCracken,0.0
677,Thierry Small,0.0
678,Kamil Conteh,0.0
679,Nathan Patterson,0.0
680,Liam Gibbs,0.0
681,Vitalii Mykolenko,1.0351482629776
682,Lewis Hall,0.0
683,Pierre Ekwah,0.0
684,Harvey Vale,0.0
